Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
196,"[27.03, 79.69]",0,0,0.0,0.0715,Hardoi,Rejected,0.0,0.0,0.0,0.0
197,"[27.04, 79.69]",0,0,0.0,0.2216,Hardoi,Rejected,0.0,0.0,0.0,0.0
198,"[27.05, 79.69]",0,0,1666.3686,0.3076,Hardoi,Rejected,0.0,0.0,0.0,0.0
199,"[27.06, 79.69]",0,1,4598.7083,0.2317,Hardoi,Rejected,0.0,0.0,0.0,0.0
200,"[27.07, 79.69]",1,0,539.6779,0.5075,Hardoi,Rejected,0.0,0.0,0.0,0.0
201,"[27.08, 79.69]",0,0,0.0,0.20800000000000002,Hardoi,Rejected,0.0,0.0,0.0,0.0
202,"[27.09, 79.69]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
203,"[27.1, 79.69]",0,0,0.0,0.1321,Hardoi,Rejected,0.0,0.0,0.0,0.0
204,"[27.11, 79.69]",0,0,0.0,0.3558,Hardoi,Rejected,0.0,0.0,0.0,0.0
205,"[27.12, 79.69]",0,0,994.8544,0.4346,Hardoi,Rejected,0.0,0.0,0.0,0.0
206,"[27.13, 79.69]",0,0,0.0,0.2682,Hardoi,Rejected,0.0,0.0,0.0,0.0
207,"[27.14, 79.69]",0,0,1095.4285,0.5985,Hardoi,Rejected,0.0,0.0,0.0,0.0
208,"[27.15, 79.69]",1,0,1351.6785,0.5394,Hardoi,Rejected,0.0,0.0,0.0,0.0
209,"[27.16, 79.69]",2,0,1867.175,0.5978,Hardoi,Rejected,0.0,0.0,0.0,0.0
210,"[27.17, 79.69]",0,0,1169.0655,0.5208,Hardoi,Rejected,0.0,0.0,0.0,0.0
211,"[27.18, 79.69]",2,0,1817.06,0.4519,Hardoi,Rejected,0.0,0.0,0.0,0.0
212,"[27.19, 79.69]",13,0,4705.1233,0.5488,Hardoi,Rejected,0.0,0.0,0.0,0.0
213,"[27.2, 79.69]",15,1,4506.1002,0.5828,Hardoi,Rejected,0.0,0.0,0.0,0.0
214,"[27.21, 79.69]",0,0,356.5591,0.2008,Hardoi,Rejected,0.0,0.0,0.0,0.0
215,"[27.22, 79.69]",8,0,2252.5931,0.4506,Hardoi,Rejected,0.0,0.0,0.0,0.0
216,"[27.23, 79.69]",0,0,0.0,0.2908,Hardoi,Rural,0.0,0.0,0.756757,0.0
217,"[27.24, 79.69]",0,0,0.0,0.2273,Hardoi,Rural,0.0,0.0,0.82615,0.0
218,"[27.25, 79.69]",0,0,0.0,0.1427,Hardoi,Rural,0.0,0.0,0.95252,0.0
219,"[27.26, 79.69]",0,0,0.0,0.1749,Hardoi,Rural,0.0,0.0,0.718042,0.0
220,"[27.27, 79.69]",11,1,2282.6166,0.5047,Hardoi,Rejected,0.0,0.0,0.0,0.0
221,"[27.28, 79.69]",14,0,4821.6152,0.5349,Hardoi,Rejected,0.0,0.0,0.0,0.0
222,"[27.29, 79.69]",9,1,4534.2034,0.5153,Hardoi,Rejected,0.0,0.0,0.0,0.0
223,"[27.3, 79.69]",1,0,2122.3159,0.4195,Hardoi,Rejected,0.0,0.0,0.0,0.0
224,"[27.31, 79.69]",9,1,3371.8034,0.4473,Hardoi,Rejected,0.0,0.0,0.0,0.0
225,"[27.32, 79.69]",27,3,7434.3721,0.6372,Hardoi,Rejected,0.0,0.0,0.0,0.0
226,"[27.33, 79.69]",2,0,2704.3022,0.5249,Hardoi,Rejected,0.0,0.0,0.0,0.0
227,"[27.34, 79.69]",9,0,3741.8749,0.5246,Hardoi,Rejected,0.0,0.0,0.0,0.0
228,"[27.35, 79.69]",0,0,1339.4523,0.3436,Hardoi,Rejected,0.0,0.0,0.331629,0.0
229,"[27.36, 79.69]",10,0,4442.5169,0.5111,Hardoi,Rural,0.0,0.0,0.9926950000000001,0.0
230,"[27.37, 79.69]",5,0,3850.3771,0.508,Hardoi,Rural,0.0,0.0,1.0,0.0
231,"[27.38, 79.69]",3,0,2996.0833,0.4478,Hardoi,Rural,0.0,0.0,1.0,0.0
232,"[27.39, 79.69]",7,0,3305.7194,0.518,Hardoi,Rural,0.0,0.0,0.83357,0.0
233,"[27.4, 79.69]",8,0,3677.1235,0.4628,Hardoi,Rejected,0.0,0.0,0.022644,0.0
234,"[27.41, 79.69]",6,0,3463.5928,0.529,Hardoi,Rejected,0.0,0.0,0.0,0.0
235,"[27.42, 79.69]",17,2,5149.5188,0.5449,Hardoi,Rejected,0.0,0.0,0.0,0.0
236,"[27.43, 79.69]",7,0,1790.9077,0.3558,Hardoi,Rejected,0.0,0.0,0.0,0.0
237,"[27.44, 79.69]",12,1,5633.8811,0.5647,Hardoi,Rejected,0.0,0.0,0.0,0.0
