Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
1219,"[23.84, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1220,"[23.85, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1221,"[23.86, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1222,"[23.87, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1223,"[23.88, 85.78]",0,0,0.0,0.2633,Bokaro,Rejected,0.0,0.0,0.457999,0.0
1224,"[23.89, 85.78]",0,0,1130.4075,0.5694,Bokaro,Rejected,0.0,0.0,0.091308,0.0
1225,"[23.9, 85.78]",0,0,1459.7965,0.6299,Bokaro,Rejected,0.0,0.0,0.0,0.0
1226,"[23.91, 85.78]",0,0,333.1142,0.3471,Bokaro,Rejected,0.0,0.0,0.0,0.0
1227,"[23.92, 85.78]",0,0,1273.8341,0.6259,Bokaro,Rejected,0.0,0.0,0.0,0.0
1228,"[23.93, 85.78]",1,0,2042.6598,0.5652,Bokaro,Rejected,0.0,0.0,0.0,0.0
1229,"[23.94, 85.78]",0,0,1232.0259,0.5978,Bokaro,Rejected,0.0,0.0,0.0,0.0
1230,"[23.95, 85.78]",0,0,1041.55,0.6008,Bokaro,Rejected,0.0,0.0,0.0,0.0
1231,"[23.96, 85.78]",0,0,0.0,0.3835,Bokaro,Rejected,0.0,0.0,0.0,0.0
1232,"[23.41, 85.79]",0,0,617.4509,0.4548,Bokaro,Rejected,0.0,0.0,0.0,0.0
1233,"[23.42, 85.79]",0,0,623.6098,0.4544,Bokaro,Rejected,0.0,0.0,0.0,0.0
1234,"[23.43, 85.79]",1,0,678.0783,0.4026,Bokaro,Rejected,0.0,0.0,0.0,0.0
1235,"[23.44, 85.79]",5,0,2841.5413,0.4751,Bokaro,Rejected,0.0,0.0,0.0,0.0
1236,"[23.45, 85.79]",1,0,1221.7277,0.2839,Bokaro,Rejected,0.0,0.0,0.0,0.0
1237,"[23.46, 85.79]",20,0,6195.2698,0.5581,Bokaro,Rejected,0.0,0.0,0.0,0.0
1238,"[23.47, 85.79]",2,0,1500.8783,0.4375,Bokaro,Rejected,0.0,0.0,0.0,0.0
1239,"[23.48, 85.79]",0,0,0.0,0.1861,Bokaro,Rejected,0.0,0.0,0.0,0.0
1240,"[23.49, 85.79]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1241,"[23.5, 85.79]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1242,"[23.51, 85.79]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1243,"[23.52, 85.79]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1244,"[23.53, 85.79]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1245,"[23.54, 85.79]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1246,"[23.55, 85.79]",0,0,0.0,0.1659,Bokaro,Rejected,0.0,0.0,0.0,0.0
1247,"[23.56, 85.79]",0,0,0.0,0.3251,Bokaro,Rejected,0.0,0.0,0.0,0.0
1248,"[23.57, 85.79]",0,0,1491.852,0.6401,Bokaro,Rejected,0.0,0.0,0.0,0.0
1249,"[23.58, 85.79]",0,0,85.005,0.2938,Bokaro,Rejected,0.0,0.0,0.0,0.0
1250,"[23.59, 85.79]",0,0,0.0,0.1807,Bokaro,Rejected,0.0,0.0,0.140825,0.0
1251,"[23.6, 85.79]",1,0,2112.491,0.5962,Bokaro,Rural,0.0,0.0,0.822191,0.0
