Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
232,"[25.1, 85.84]",0,0,0.0,0.2656,Jamui,Rejected,0.0,0.0,0.0,0.0
233,"[25.11, 85.84]",0,0,201.8492,0.3533,Jamui,Rejected,0.0,0.0,0.0,0.0
234,"[25.12, 85.84]",0,0,1289.2947,0.5701,Jamui,Rejected,0.0,0.0,0.0,0.0
235,"[25.13, 85.84]",0,1,1549.3483,0.4415,Jamui,Rejected,0.0,0.0,0.0,0.0
236,"[25.14, 85.84]",0,0,1024.7815,0.5014,Jamui,Rejected,0.0,0.0,0.0,0.0
237,"[24.36, 85.85]",0,0,0.0,0.2019,Jamui,Rejected,0.0,0.0,0.0,0.0
238,"[24.37, 85.85]",0,0,0.0,0.158,Jamui,Rejected,0.0,0.0,0.0,0.0
239,"[24.38, 85.85]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
240,"[24.39, 85.85]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
241,"[24.4, 85.85]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
242,"[24.41, 85.85]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
243,"[24.42, 85.85]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
244,"[24.43, 85.85]",0,0,0.0,0.316,Jamui,Rejected,0.0,0.0,0.0,0.0
245,"[24.44, 85.85]",0,0,1030.0125,0.556,Jamui,Rejected,0.0,0.0,0.0,0.0
246,"[24.45, 85.85]",0,0,0.0,0.1575,Jamui,Rejected,0.0,0.0,0.0,0.0
247,"[24.46, 85.85]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
248,"[24.47, 85.85]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
249,"[24.48, 85.85]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
250,"[24.49, 85.85]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
