Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
287,[[24.867872  85.8543948]],None,None,None,None,None,None,None,None,None,None,None
288,None,None,None,None,None,None,None,None,None,None,None,None
289,[[24.8843044 85.8564783]],None,None,None,None,None,None,None,None,None,None,None
290,[[24.8978809 85.8531899]],None,None,None,None,None,None,None,None,None,None,None
291,[[24.9065245 85.8558168]],None,None,None,None,None,None,None,None,None,None,None
292,"[[24.9166948 85.8531094]
 [24.916658  85.853097 ]
 [24.9137161 85.8553286]]",None,None,None,None,None,None,None,None,None,None,None
293,[[24.9278091 85.8581378]],None,None,None,None,None,None,None,None,None,None,[[24.9203046 85.8543664]]
294,"[[24.9351799 85.8550624]
 [24.9346199 85.8583213]
 [24.9399028 85.8597938]]",[[24.9399028 85.8597938]],None,None,None,None,None,None,None,[[24.9380297 85.8577814]],None,[[24.935696 85.858063]]
295,[[24.9488504 85.8512127]],None,None,None,None,[[24.9402271 85.8599645]],None,[[24.9419901 85.8566187]],None,None,None,None
296,"[[24.9558982 85.8566748]
 [24.9589473 85.8587162]]",None,None,None,None,None,None,None,None,None,None,None
297,"[[24.9643569 85.8596024]
 [24.9647411 85.8598889]]",None,None,None,None,None,None,None,None,[[24.9672262 85.8586069]],None,None
298,None,None,None,None,None,None,None,None,None,None,None,None
299,None,None,None,None,None,None,None,None,None,None,None,None
300,None,None,None,None,None,None,None,None,None,None,None,None
301,None,None,None,None,None,None,None,None,None,None,None,None
302,[[25.011409  85.8561762]],None,None,None,None,None,None,None,None,None,None,None
303,None,None,None,None,None,None,None,None,None,None,None,None
304,"[[25.0338169 85.8511812]
 [25.0313426 85.8569077]
 [25.0312975 85.8570364]]",None,None,None,None,None,None,None,None,None,None,None
305,[[25.0438585 85.8550212]],None,None,None,None,None,None,None,None,None,None,[[25.046493 85.856584]]
306,None,None,None,None,None,None,None,None,None,None,None,None
307,"[[25.0616548 85.8514078]
 [25.0695805 85.8527148]
 [25.0693051 85.8547482]
 [25.0694497 85.8599018]]",None,None,None,None,None,None,None,None,None,None,None
308,[[25.0731252 85.8500259]],None,None,None,None,None,[[25.071938  85.8545773]],[[25.0737839 85.8508932]],None,"[[25.0722709 85.8536663]
 [25.0722102 85.8538278]]",None,None
309,None,None,None,None,None,None,None,None,None,None,None,None
310,"[[25.0984579 85.8502683]
 [25.0985993 85.85028  ]
 [25.0961822 85.8550901]
 [25.0964074 85.8555522]]",None,None,None,None,None,None,None,None,[[25.0995481 85.8547861]],None,None
