Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
218,None,None,None,None,None,None,None,None,None,None,None,None
219,[[25.7606944 89.7182845]],None,None,None,None,None,None,None,None,None,None,None
220,None,None,None,None,None,None,None,None,None,None,None,None
221,[[25.7872867 89.7137117]],None,None,None,None,None,None,None,None,None,None,None
222,None,None,None,None,None,None,None,None,None,None,None,None
223,[[25.8047063 89.7197544]],None,None,None,None,None,None,None,None,None,None,None
224,None,None,None,None,None,None,None,None,None,None,None,None
225,"[[25.8232642 89.715962 ]
 [25.8230907 89.7162485]]",[[25.8230907 89.7162485]],None,None,None,None,None,None,None,None,None,None
226,None,None,None,None,None,None,None,None,None,None,None,None
227,[[25.8479097 89.7115472]],None,None,None,None,None,None,None,None,None,None,None
228,None,None,None,None,None,None,None,None,None,[[25.8530149 89.7152731]],None,None
229,"[[25.8628696 89.7160879]
 [25.8663114 89.718287 ]]",None,None,None,None,None,None,None,None,None,None,None
230,[[25.8758391 89.7186949]],None,None,None,None,None,None,None,None,None,None,None
231,[[25.8855582 89.7119093]],None,None,None,None,None,None,None,None,None,None,None
232,[[25.8951619 89.7104502]],[[25.8951619 89.7104502]],None,None,None,None,None,None,None,None,None,None
233,None,None,None,None,None,None,None,None,None,None,None,None
234,None,None,None,None,None,None,None,None,None,None,None,None
235,"[[25.9282893 89.7127816]
 [25.9294359 89.7118336]
 [25.9254109 89.7168501]]",None,None,None,None,None,None,None,None,None,None,None
236,[[25.9305613  89.71867015]],None,None,None,None,None,None,None,None,None,None,None
237,"[[25.9423211 89.7130177]
 [25.9421818 89.7127068]
 [25.9472717 89.7104461]]",[[25.9423211 89.7130177]],None,None,None,None,None,None,None,None,None,None
238,None,None,None,None,None,None,None,None,None,None,None,None
239,None,None,None,None,None,None,None,None,None,None,None,None
240,None,None,None,None,None,None,None,None,None,None,None,None
241,[[25.9848781 89.7128105]],[[25.9848781 89.7128105]],None,None,None,None,None,None,None,None,None,None
242,[[25.9968384 89.7113588]],None,None,None,None,None,None,None,[[25.9968384 89.7113588]],None,None,None
243,[[26.0042385 89.7107342]],None,None,None,None,None,None,None,None,None,None,None
244,None,None,None,None,None,None,None,None,None,None,None,None
245,None,None,None,None,None,None,None,None,None,None,None,None
246,None,None,None,None,None,None,None,None,None,None,None,None
247,None,None,None,None,None,None,None,None,None,None,None,None
248,None,None,None,None,None,None,None,None,None,None,None,None
249,"[[26.0642604 89.7159654]
 [26.06594   89.716573 ]]",None,None,None,None,None,None,None,None,None,None,None
