Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
205,"[[27.1224189 79.6905126]
 [27.1238625 79.6907298]
 [27.1249016 79.6927231]
 [27.1205702 79.6984325]
 [27.1223523 79.6994668]]",None,None,None,None,None,[[27.1243876 79.6923735]],None,[[27.1201596 79.6924263]],None,None,None
206,"[[27.1369933  79.6984978 ]
 [27.1320226  79.6995983 ]
 [27.1345491  79.69988585]]",None,None,None,None,None,None,None,None,None,None,None
207,None,None,None,None,None,None,None,None,None,None,None,None
208,[[27.1568826 79.6930208]],None,None,None,[[27.1565435 79.6929429]],None,None,None,None,None,None,None
209,None,None,None,None,None,None,None,None,None,[[27.160109  79.6910933]],None,None
210,None,None,None,None,None,None,None,None,None,None,None,None
211,None,None,None,None,None,None,None,None,None,None,None,None
212,None,None,None,None,None,None,None,None,None,None,None,None
213,None,None,None,None,None,None,None,None,None,None,None,None
214,None,None,None,None,None,None,None,None,None,None,None,None
215,None,None,None,None,None,None,None,None,None,None,None,None
216,None,None,None,None,None,None,None,None,None,None,None,None
217,None,None,None,None,None,None,None,None,None,None,None,None
218,None,None,None,None,None,None,None,None,None,None,None,None
219,None,None,None,None,None,None,None,None,None,None,None,None
220,None,None,None,None,None,None,None,None,None,None,None,None
221,[[27.2884312 79.6958907]],None,None,None,None,None,None,None,None,None,None,None
222,None,None,None,None,None,None,None,None,None,None,None,None
223,None,None,None,None,None,None,None,None,None,None,None,None
224,None,None,None,None,None,None,None,None,None,None,None,None
225,None,None,None,None,None,None,None,None,None,None,None,None
226,None,None,None,None,None,None,None,None,None,None,None,None
227,None,None,None,None,None,None,None,None,None,None,None,None
228,None,None,None,None,None,None,None,None,None,None,None,None
229,None,None,None,None,None,None,None,None,None,None,None,None
230,None,None,None,None,None,None,None,None,None,None,None,None
231,[[27.3809752 79.6986171]],None,None,None,None,None,None,None,None,None,None,None
232,None,None,None,None,None,None,None,None,None,[[27.3958821 79.6921151]],None,None
233,[[27.4048851 79.6979157]],None,None,None,None,None,None,None,None,None,None,None
234,None,None,None,None,None,None,None,None,None,None,None,None
235,[[27.420095  79.6991231]],None,None,None,None,None,None,None,None,None,None,None
236,None,None,None,None,None,None,None,None,None,None,None,None
237,None,None,None,None,None,None,None,None,None,None,None,None
238,None,None,None,None,None,None,None,None,None,None,None,None
239,None,None,None,None,None,None,None,None,None,None,None,None
