Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
4292,"[[23.7733714 86.3312926]
 [23.7733659 86.3313681]
 [23.7749254 86.3313381]
 [23.7749255 86.3313382]]",None,None,None,[[23.7746154 86.3316916]],None,None,None,None,[[23.7731824 86.3321335]],None,None
4293,[[23.7886413 86.336255 ]],None,None,None,None,None,None,None,None,None,None,None
4294,"[[23.797375  86.333532 ]
 [23.791546  86.3321492]
 [23.7931824 86.3311022]]",None,None,None,None,None,None,None,None,None,None,None
4295,"[[23.8042752  86.3324246 ]
 [23.8046648  86.33782315]
 [23.8040487  86.3346792 ]
 [23.8095293  86.3305818 ]
 [23.8086935  86.3360978 ]
 [23.8011162  86.3314822 ]
 [23.809145   86.33648   ]
 [23.808318   86.338151  ]
 [23.8083214  86.3384819 ]
 [23.8064607  86.3382141 ]
 [23.8063923  86.338382  ]
 [23.8076947  86.3392814 ]
 [23.8077018  86.3394076 ]]",None,None,None,None,[[23.8042893 86.3370823]],"[[23.800781  86.3316141]
 [23.808842  86.3367255]]",[[23.8087674 86.3397323]],None,"[[23.8094803 86.3398432]
 [23.8075962 86.3391703]
 [23.8031146 86.3356717]
 [23.8033799 86.3353826]
 [23.8039091 86.3344492]
 [23.8017198 86.3338735]]",None,[[23.8029526 86.3359952]]
4296,"[[23.8103481 86.3366092]
 [23.8131623 86.3377165]
 [23.8187785 86.3336754]
 [23.8115762 86.3388829]
 [23.8117891 86.3391049]]",[[23.8187785 86.3336754]],None,None,None,None,None,None,[[23.813307  86.3380797]],None,None,None
4297,"[[23.8221453  86.33762097]
 [23.8239671  86.3305033 ]]",None,None,None,None,None,None,None,None,None,None,None
4298,None,None,None,None,None,None,None,None,None,None,None,None
4299,None,None,None,None,None,None,[[23.8461902 86.3357942]],None,None,None,None,None
4300,"[[23.8515023 86.3356968]
 [23.8583679 86.3381447]]",None,None,None,None,None,None,None,None,None,None,None
4301,"[[23.8695712 86.3331547]
 [23.8675816 86.3322012]
 [23.8676299 86.3322501]
 [23.8692735 86.3335906]
 [23.8698019 86.3341011]
 [23.869835  86.3341367]
 [23.8696824 86.3341783]
 [23.8696405 86.3342625]
 [23.8637876 86.3337083]
 [23.8637423 86.3337244]
 [23.863596  86.3339611]
 [23.8699789 86.3388142]
 [23.8618661 86.3376374]
 [23.8607462 86.3382013]]",None,None,None,None,[[23.8660314 86.331364 ]],None,None,None,None,None,None
4302,"[[23.8702733 86.3338119]
 [23.8755344 86.3301426]
 [23.8747397 86.3328701]
 [23.8728316 86.3377791]
 [23.8700954 86.3387331]
 [23.8732203 86.3380283]
 [23.8735576 86.3385907]
 [23.8731249 86.3389435]
 [23.873125  86.3389436]
 [23.8719724 86.3395001]]",None,None,None,None,[[23.8729372 86.3354991]],[[23.873907 86.33316 ]],[[23.8730155 86.3350645]],"[[23.8718103 86.3356677]
 [23.8722438 86.336011 ]
 [23.8728888 86.3377986]]","[[23.8724267 86.3395581]
 [23.8722048 86.3389121]
 [23.8726552 86.3366319]
 [23.8724867 86.3362976]
 [23.870965  86.3357753]
 [23.8741906 86.3324385]
 [23.8743519 86.3325328]]",None,"[[23.8733401 86.336071 ]
 [23.8746898 86.3387141]]"
4303,None,None,None,None,None,None,None,None,None,None,None,None
4304,None,None,None,None,None,None,None,None,None,None,None,None
4305,None,None,None,None,None,None,None,None,None,None,None,None
4306,None,None,None,None,None,None,None,None,None,None,None,None
4307,"[[23.9239701 86.3311669]
 [23.924823  86.336066 ]]",None,None,None,None,None,None,None,None,[[23.9248687 86.3377561]],None,None
4308,"[[23.9318517 86.3332067]
 [23.9324689 86.3330307]]",None,None,None,None,None,None,None,None,None,None,None
4309,None,None,None,None,None,None,None,None,None,None,None,None
4310,None,None,None,None,None,None,None,None,None,None,None,None
4311,"[[23.9694454 86.3351697]
 [23.9694368 86.3351754]
 [23.969576  86.335399 ]]",None,None,None,None,None,None,None,None,None,None,None
4312,None,None,None,None,None,None,None,None,None,None,None,None
4313,None,None,None,None,None,None,None,None,None,None,None,None
4314,None,None,None,None,None,None,None,None,None,None,None,None
4315,[[23.4491081 86.3428033]],None,None,None,None,None,None,None,None,None,None,None
4316,"[[23.4540203 86.3457393]
 [23.4591361 86.3423996]]",None,None,None,None,None,None,None,None,None,None,None
4317,None,None,None,None,None,None,None,None,None,None,None,None
4318,None,None,None,None,None,None,None,None,None,None,None,None
4319,None,None,None,None,None,None,None,None,None,None,None,None
4320,None,None,None,None,None,None,None,None,None,None,None,None
4321,None,None,None,None,None,None,None,None,None,None,None,None
4322,None,None,None,None,None,None,None,None,None,None,None,None
4323,None,None,None,None,None,None,None,None,None,None,None,None
4324,None,None,None,None,None,None,None,None,None,None,None,None
4325,"[[23.5473967 86.3457916]
 [23.5471607 86.3457735]]",None,None,None,None,None,None,None,None,None,None,None
4326,[[23.5540803 86.3474647]],None,None,None,None,None,None,None,[[23.5525479 86.3467425]],None,None,None
4327,None,None,None,None,None,None,None,None,None,None,None,None
4328,None,None,None,None,None,None,None,None,None,None,None,None
4329,[[23.5855213 86.3422424]],None,None,None,None,None,None,None,None,None,None,None
4330,None,None,None,None,None,None,None,None,None,None,None,None
4331,[[23.6072591 86.3497335]],None,None,None,None,None,None,None,None,None,None,None
4332,None,None,None,None,None,None,None,None,None,None,None,None
4333,None,None,None,None,None,None,None,None,None,None,None,None
4334,None,None,None,None,None,None,None,None,None,None,None,None
4335,None,None,None,None,None,None,None,None,None,None,None,[[23.6447988 86.3492839]]
4336,"[[23.6500629 86.3432543]
 [23.6590626 86.3415611]]",None,None,None,None,None,None,None,None,None,None,None
4337,None,None,None,None,None,None,None,None,None,None,None,None
4338,None,None,None,None,None,None,None,None,None,None,None,None
4339,None,None,None,None,None,None,None,None,None,None,None,None
4340,"[[23.6985793 86.3405509]
 [23.6990788 86.3410807]]",None,None,None,None,None,None,None,None,None,None,None
4341,None,None,None,None,None,None,None,None,None,None,None,None
4342,None,None,None,None,None,None,None,None,None,None,None,None
4343,None,None,None,None,None,None,None,None,None,[[23.7276538 86.340156 ]],None,None
4344,"[[23.7354755 86.3428972]
 [23.7370706 86.3435775]
 [23.7371103 86.3437249]
 [23.7380242 86.3413278]
 [23.7390692 86.3426216]]",None,None,None,None,None,None,None,None,[[23.7369711 86.3443932]],[[23.7363837 86.344886 ]],None
4345,"[[23.7411141 86.346086 ]
 [23.7408182 86.3458936]
 [23.7409171 86.345967 ]
 [23.7449647 86.3441716]
 [23.7456627 86.3422706]
 [23.7434016 86.3486763]
 [23.7423373 86.3406746]
 [23.7460265 86.3419537]]",None,None,None,None,[[23.7448701 86.3470786]],None,[[23.7439443 86.3466818]],None,[[23.7427116 86.347231 ]],None,[[23.7414772 86.3471478]]
4346,[[23.7576238 86.3428613]],None,None,None,None,None,None,None,"[[23.7501208 86.3484386]
 [23.7507984 86.34953  ]
 [23.757429  86.3415779]]",None,None,None
4347,None,None,None,None,None,None,None,None,None,None,None,None
4348,[[23.7763271 86.3465329]],None,None,None,None,None,None,None,None,None,None,None
4349,"[[23.7811087 86.3499324]
 [23.7875402 86.34822  ]
 [23.7859112 86.3497412]]",None,None,None,None,None,None,None,None,None,None,[[23.785526 86.347416]]
4350,None,None,None,None,None,None,None,None,None,None,None,None
4351,None,None,None,None,None,None,None,None,None,None,None,None
4352,"[[23.8122029 86.343613 ]
 [23.8105978 86.340318 ]]",None,None,None,[[23.8146206 86.3432332]],None,None,None,None,None,None,None
4353,[[23.8260721 86.3419329]],None,None,None,None,None,None,None,None,None,None,None
4354,None,None,None,None,None,None,[[23.8304701 86.3484504]],None,None,None,None,None
4355,None,None,None,None,None,None,None,None,None,None,None,None
4356,"[[23.8520138 86.3445286]
 [23.8519116 86.343043 ]]",None,None,None,None,None,None,None,None,None,None,None
4357,None,None,None,None,None,None,None,None,None,None,None,None
